title,address,description,compensation,employment type
Architectural/spatial design intern at art studio,,"Studio Ijeoma is an award-winning art/design studio which produces interdisciplinary projects ranging from a website on refugee migration to a music performance/large-scale sound-reactive light installation on mass incarceration. Our work has been presented by venues including MoMA, The Kennedy Center, Annenberg Center for Photography, Neuberger Museum of Art, Storefront for Art and Architecture, Istanbul Design Biennial and Design Museum.
 
We're currently looking for an architectural design intern interested in designing: 
-Sculptures/installations with Rhino, Grasshopper for music/art venues and public spaces

as well as building with:
-Laser cutter and CNC router
-Wood and metal tools and machines

Only selected candidates will be contacted for an interview.

Please send one single PDF which includes your required cover letter, resume, and portfolio (no greater than 10 MB) and include ""Architectural Intern"" in the subject line. Submissions without these requirements will not be considered.",stipend,employee's choice
Auto Cad Draftsperson,Wyandanch,"Corinthian Cast Stone Inc. is an architectural products manufacturer; specializing in cast stone, natural stone (exterior/ building envelope) and other exterior building materials.

We are looking for: AutoCAD draftspersons; four positions open

Requirements:

Proficient use in AutoCAD, and Inventor ( Solid works or Rhino a plus )
3 + years experience architectural or bespoke shop drawings
Either BS in architecture or equivalent field experience
Excellent organizational, communication ( both written and verbal) skills
Exceptional work ethic.
Full-time position with benefits and excellent growth opportunity. Hours are flexible. Overtime is available. Salary is commensurate with your experience and potential.

About Corinthian Cast Stone Inc.Corinthian Cast Stone Inc., a manufacturer of architectural and structural cast stone components for residential, commercial, institutional and government projects. Innovation is a core philosophy of the company from its use of 3D laser scanning for field measuring and 3 and 5 axis CNC milling and 3D printing for mold manufacturing to the development and release of Corinthian Restoration Mortar for stone patching , Corinthian Cast Stone is leading the industry in innovation.",Full-time position with benefits and excellent growth opportunity. Hours are flexible. Overtime is available. Pay Rate is commensurate with your experience and potential.,full-time
Fulltime Designer – Creative Landscape and Urban Design Firm,SoHo,"Fulltime Designer – Creative Landscape and Urban Design Firm

Internationally renowned landscape and urban design firm seeks bright, creative and enthusiastic Designer ready to undertake minimal administrative duties and business development/marketing tasks. The applicant should be detail oriented, highly-organized with excellent communication and interpersonal skills.  Ideal candidate will have a good level of digital design skills and graphic ability to represent design ideas.

Administrative Duties to include:
•	Managing light day-to-day administrative operations (Reception, Answering phone…)
•	Maintaining website, Instagram accounts 
•	Assisting with the development and graphic design of responses to RFQ/RFP and marketing materials
•	Addressing press/publication requests

Software:
Windows proficient (required)
Microsoft Office (required)
Adobe Creative Suite (required)
Rhino, AutoCAD (preferred)


Qualification: Bachelor's relating to the field of landscape architecture, urban design, or architecture and prior experience working in a creative environment are required.

Compensation to be discussed

This is a fulltime position: 40 hours a week, 8 hours a day.


Application Instructions:
Please email your resume and portfolio to info@balmori.com (attachments should be no larger than 5MB.)",To Be Discussed,full-time
Junior/Intermediate Architect,,"We are an established and awarded small architectural firm located in Manhattan. Our projects cover public buildings and educational facilities. We are looking to hire talented individuals who have the potential and ambition for growth towards positions in office leadership.
Our office organization enables staff members a hands-on experience. Working on multiple projects and different phases of work, including design, construction documents and job administration. Our transparent office environment provides exposure to all aspects of the practice.

Qualifications:

•	Be a US citizen or be permitted to work in the USA
•	Professional degree in Architecture
•	Skill in Autocad and presentation software. Revit capability a plus.
•	USA experience in design, detailing and construction administration.
•	Verbal and writing abilities.

Work description:

•	Participate in the design and production of multiple projects at all design and project administration phases.
•	Attend site meetings and prepare minutes. Observe and document progress and quality of construction work.
•	Communicate with in-house staff, consultants and clients.
•	Demonstrate skill in the use of drafting and presentation software.

We offer competitive salaries, health coverage and profit sharing.

Interested candidates should email a cover letter, resume, work samples and requested compensation in PDF format.",Commensurate on experience,full-time
NYC DOB_Architectural Services- filing set_ Freelancer,Midtown,"Architectural Services- filing set_ Freelancer\Independent Contractor

Job Description
We are seeking an Architectural Associate/CAD drafter to help with NYC DOB filing sets for commercial renovations. As an Architectural drafter you will work on Restaurant projects primarily in Manhattan.

RESPONSIBILITIES:
• Survey existing and as-built conditions on sites located throughout the NYC area
• Create Architectural Drawings and Construction Documents (Alteration Type 1 and Type 2)
• Zoning Analysis and Diagrams
• Drawing existing and proposed sections and elevations
• Update drawing sets based on NYC Plan Examiner Objections
• Prepare DOB filing set packages and coordinate with Expediter to file with Department of Buildings.


Position is an independent contractor/ freelancer",TBD,full-time
Looking for A CAd drafter,Brooklyn,Looking somone  proficient  in CAD also Sketchup  or ReVit. Can be a student.,20 to 40 dollars an hour,full-time
"High End Residential Interiors junior staff architect, Full Time",Midtown,"We are a prominent residential design firm near Bryant Park, NYC with local, national and international projects.  Excellent opportunity to work at all project levels including occasional site visits.

Requirements
1-3 years experience in interiors
AUTOCAD
Microsoft Word+Excel.  
Modeling in Rhino, VRay, Photoshop is helpful
Degree in architecture

Job focuses on client presentation drawings: plans and interior elevations showing furniture, floor patterns and decorative finishes.  Also production of construction drawings: interior elevations, sections, custom cabinetry and millwork details, specifications for appliances, plumbing fixtures, stone/tile, finishes. Some furniture design.  

Please e-mail your resume to resumes@robertcouturier.com. 
Absolutely no phone calls, please!",Based on Experience,full-time
Upholsterer,Richmond Hill,"Busy Upholstery shop in Richmond Hill, Queens is hiring for an upholsterer. Need at least 3 yrs. of proven experience. Salary neg. and based on experience. Please do not call if you are not qualified. 718-847-2843",Based on Experience,full-time
DOB LICENSED SUPERINTENDENT 100k-120k year/DOB LICENSE REQUIRED,,"We are looking for a DOB Licensed Construction Superintendent.

Job Description:
•	Visit various sites to ensure safety per DOB and OSHA standards.
•	Maintain daily paperwork such as logbooks, field safety checklists.
•	Review and analyze detailed construction drawings.
•	Communicate with competent persons on sites regarding safety requirements.
•	When necessary communicate with DOB inspectors regarding safety issues.

Qualifications/Requirements:
•	Minimum 5 years’ experience in general construction 
•	DOB Construction Superintendent license
•	Proficiency in reading plans, blueprints, specifications
•	Knowledge of DOB building codes and NYC Construction Codes
•	Ability to professionally deal with NYC DOB Inspectors
•	Strong communication skills and computer literacy
•	Excellent problem-solving skills and willingness to learn
•	Sound judgment and ethical conduct

Preferred Skills:
5 to 7 years related experience or an equivalent combination of education, training and/or experience 
Architectural or engineering background is a plus

Experience:
Construction: 5 years (Required)
Blueprint Reading: 3 years (Required)
Site Superintendent or Construction PM: 5 years (Preferred)
License:
Driver's License (Required)","$100,000 - $120,000 a year",contract
Construction Estimation,Roslyn Heights,"Job Description

Established Flooring Company located in Roslyn Heights is currently seeking a Flooring Estimator. The ideal candidate for this position should have extensive knowledge in Hardwood Flooring, VCT, LVT, and Carpet material and installation.

Job duties

    Download floor plans and use software system(AutoDesk, CAD, Callidus, etc) to measure plans accurately and do take offs
    Work with GCs and end users to make sure plans are being completed 100%, and also keep it up with changes, addendums, and VE options
    Prepare all information on to a spreadsheet for Project Managers
    Prepare shop drawings and submittals
    On occasion help with pricing and preparing proposals for customers
    Work with project managers to assure projects have all materials accounted for


Knowledge and Skills

    Carpet pattern lay out
    Flooring & construction experience and previous estimating experience are plus
    Strong Computer Skills (Proficient in Excel, word, office, Dropbox, etc.
    Strong Communication skills, excellent organizational, and problem-solving skills
    Experience with reading blueprints and project specifications
    Ability to estimate projects
    Self-motivated with keen attention to detail
    Ability to work as a team on projects as well as take initiative and work alone",Based on Experience,full-time
Junior Designer,Southport,"Award winning design firm in Southport, CT seeks a Junior Designer. Qualifications include: Bachelor's or Master's Degree in Architecture and 1-3 years of experience in the architectural profession. Strong attention to detail and the ability to be flexible and work on a variety of projects; Strong organizational, time management and problem solving skills; Work well individually and as part of a team; Fluent in English with strong written and verbal communication skills; Legal authorization to work in the US.  Please note, this is an entry level position. Please email cover letter with salary requirements, resume and portfolio.  Resumes submitted without salary requirements will not be considered.",competitive,full-time
ARCHITECTURAL MODEL MAKER,new haven,"Company: KMCA Location: New Haven, CT 
Job Description
KMCA, Inc., one of the nation’s most sophisticated and advanced model-making studios, is seeking both entry level or experienced model makers to join its team. 

If you have experience in architectural and/or engineering model making, proficiency in CAD/CAM software, experience in project management, skill in laser cutting and 3D printing, knowledge in CNC milling, we want to talk to you.   

Visit our website KMCA.com to learn more and see projects from around the world.",based on experience,full-time
Hotel Engineer Wanted!,Financial District,"The World's Tallest Holiday Inn is seeking a Full Time Engineer to:

For more information see details below and to APPLY NOW please click link:


JOB OVERVIEW: Perform general maintenance work to ensure hotel maintenance quality standards are achieved and maintained.

REPORTS TO:	Chief Engineer

ESSENTIAL JOB FUNCTIONS: 

1.	Assist with preventative maintenance and complete report work orders such as replacing ceiling tiles, light bulbs, patching vinyl, etc., to maintain the hotel and keep the product quality standard. 
2.	Perform preventative maintenance assignments on a scheduled basis (e.g., ""room care"").
3.	Assist in checking electrical systems such as air conditioning controls, television sets, lighting systems, and make minor repairs and/or replacement.
4.	Assist in checking and making routine repairs and assist on major repairs of all hotel equipment including small appliances, kitchen equipment, laundry equipment, boilers, pool equipment, HVAC, hand and power tools and general plumbing systems and fixtures such as pipe lines, toilets and sinks, kitchen and laundry equipment.
5.	Service the hotel's pool, including adjusting chemicals and cleaning filters; completing maintenance request forms and record logs.
6.	Maintain the building exterior and ""curb appeal"" (e.g., snow removal, lawn care, painting, gardening).
7.	Refurbish furniture and fixtures within guest rooms such as cabinets, tables, chairs, doors windows and counters. Paint and finish furniture and fixtures if needed. 
8.	Respond in a courteous manner to all guest questions, complaints, and/or requests to ensure strong guest satisfaction. 
9.	Exposure to extreme temperatures.
10.	Operation of heavy machinery.
11.	Comply with attendance rules and be available to work on a regular basis.
12.	Perform any other job related duties as assigned.

Prior Hotel experience Preferred.  Must have the ability to communicate in English.  Self-starting personality with an even disposition.    Maintain a professional appearance and manner at all times.     Can communicate well with guests.  Must be willing to “pitch-in” and help co- workers with their job duties and be a team player.  Climbing, reading, standing, walking and routinely lifting 25 lbs to 50 lbs.   Must be able to receive instructions and communicate progress of work assignments.",Hourly,full-time
JUNIOR ARCHITECTURAL DESIGNER WITH REVIT EXPERIENCE,"Southport, CT","Geddis Architects PC. an award-winning architecture firm, seeks a professional with a B.Arch. or M.Arch degree and a minimum of 3 years’ experience to join our ARCHITECTURE team.

We are a full-service firm in Southport, CT. Our work ranges from public schools, civic buildings, health care to senior housing. Our office is a collaborative studio. We are seeking a thoughtful, detail-oriented architectural designer with exceptional REVIT skills. 

Responsibilities may include involvement in all phases of design and construction documentation.

You will primarily be working on public schools. 

Requirements include:
• Revit Skills
• Familiarity with building codes
• Strong communication skills
• The ability to work in a team 

Please email your resume and portfolio link to the following: info@geddisarchitects.com",to be discussed,full-time
Inside Sales Engineer,Midtown,,DOE,full-time
Junior Project manager/ cad designer,"Bronx, NY","Ornamental Metal and Glass Works company seeking junior project manager to:

- Manage multiple construction projects simultaneously 

- Surveying 

- Cad drawing on surveying

- Coordinate and oversee the in-house project team, designers, engineer, production, assembly and site production

- Have an understanding of the bid and contract documents, contracts, scope drawings and bid pricing 

- Develop, track update and report on the details project schedule for design, engineering, mock ups, production and installation activities. 

- Pricing and purchasing of materials, equipment and subcontractors.

- Build and maintain relationship with clients subcontractor and supplier 

- Analyze completed project for timeliness, quantity and budget vs cost. 

- Experience and requirements: 3+ years in Ornamental Metals and Glass works experience preferred. Valid Driver's License, Self-motivated with a positive approach and strong time management skills.  Highly organized, detail oriented. Bilingual a plus. 

- Computer Skills: Be fluent in MS office Word, Excel and AutoCad drafting. 

Salary based upon experience. 

When replying please send samples of your drafting works, bidding",Based upon experience $20 - $45 an hour,full-time
ESTIMATOR NEEDED,QUEENS,"WE ARE LOOKING FOR A EXPERIENCED CONSTRUCTION ESTIMATOR WHO IS ABLE TO READ PLANS AND ABLE TO PRICE OUT PROJECTS BOTH FOR NYCHA AND PRIVATE WORK. PROJECTS INCLUDE CONCRETE WORK, BUILDING WORK, ROOFING WORK. ESTIMATOR HAS TO BE ABLE TO PRICE PROJECTS IN TIMELY ORDER AND SHOULD BE COMFORTABLE WITH THIS LINE OF WORK.",estimator shall be paid at a monthly bases which shall be agreed upon after being selected,contract
Construction Supervisor,Floral Park,"General Contracting company is looking for a Superintendent with  experience with public construction projects with NYC SCA/ 

Responsibilities:
•	Immediately developing a detailed understanding of all project drawings, specifications, general conditions, and contracts;
•	Active supervision of direct labor and jobsite including troubleshooting solutions to construction means and methods issues that arise; 
•	Scheduling and managing field and project meetings; 
•	Coordinating with and maintaining positive relationships with project architects, engineers, and customers;
•	Managing subcontractors to make sure they perform as required within schedule; 
•	Understanding scopes of work and timely managing deviations per contract provisions;",negotiable,full-time
AutoCAD/ Solidworks Architectural Draftsman,,"We are a high end Architectural Metalwork company located in Maspeth, NY. 
We are currently seeking for a motivated and detail oriented individual for Drafting  position. 

Requirements:

2 years + experience or recently graduated candidates 
Be able to follow instructions and directions
Be computer literate
Be proficient in AutoCAD (2D/3D) and Solidworks 
Be able to work in model and paper space
Knowledge of metalworking materials and techniques (preferred)
Problem solving skills
Ability to multi-task, prioritize, set and meet deadlines
Flexible to help doing office clerk duties 


Responsibilities:

Provide accurate and complete shop drawings based upon architectural drawings and specifications. 
Resolve inconsistencies and other issues in architectural drawings and specs.
Revise drawings from red-line markups
  

Compensation is based on experience and proficiency 

If interested, please forward your Resume, Cover Letter, and samples of previous work in PDF form. 
Also include expected salary range.",TBD,full-time
Project Architect- Multifamily Residential/New Construction,"New York, NY","Established architecture practice, seeking a Project Architect to join its New York office. Will be exposed to a range of work, including but not limited to, high rise residential, hotel and other high design intent, high budget commercial mix use projects. 
Will work on a team to produce high quality built projects in NYC. 
Schematic design to construction administration. 
Experience with Revit and AutoCAD.
4+ years experience working in a professional architectural setting.",Dependent on experience level,full-time
Architectural Draftsperson/Project architect,Brooklyn,"Architectural design firm located in Brooklyn specializes in new construction and renovation of commercial, residential and mixed-used buildings currently seeking a full time Architectural Drafter to join our team.

Required Skills:

Working in a team at all phases of a project design, and submission to the DOB, construction documents, construction administration, and project administration of building projects from start to finish under the direction of  Staff.

Knowledgeable of  building code and zoning requirements effect the design of the projects.

Review DOB objections with the team to develop best strategies for addressing objections that still meet both code, and design intent.

Translate the firm's design intent into design drawings, submissions to the DOB, and construction documents while ensuring the integrity of that design intent throughout the life of the project.

*Able to read consultant drawings for building projects and work with the project team to integrate consultant's scope of work into the firm's drawings.  Such consultant drawings you should have experience with include structural, mechanical, electrical, plumbing, geotech, expeditors, lighting, and acoustical consultants.

Addressing redlines, markups, comments, and direction from Senior Staff and revising project drawings and documents accordingly.

Proficient in completing Quality Assurance Checklists on projects.

Self-checking work and cross-checking work across other drawings for the project to ensure drawings are always the most current and accurate.

Able to review Contracts and Project Schedules to support team in ensuring projects stay on schedule, that work on the project is performed according to Contract scope, and advise Senior Staff if you feel an item is requested on a project that might be out of project scope per the project's Contract.

Support Senior Staff in ensuring client satisfaction on projects.

Advise Senior Staff whenever you are given conflicting priorities, feel you'll miss a deadline, are struggling with a task or need more direction so a collaborative solution can be made together.

 
Qualifications:

Degree in either Bachelor of Architecture or Architectural Technology.

0-5 years work experience, at least 1 year of Experience drafting in the AEC Industry preferred.

Ability to think creatively and strategically to develop solutions for the team.

Complex problem solving and decision making skills.

Ability to work both independently and collaboratively while being a team member who enjoys succeeding in a team environment.

Flexibility in a fast-paced changing environment.

Experience with NYC building code, NYC Energy Code, NYC Zoning Resolutions, NYC Department of Buildings filing processes, and ADA code knowledge preferred.

 
Salary and Benefits:

Salary commensurate to experience. we offer many benefits to employees including healthcare contribution, transit check participation, direct deposit, flexible work hours, paid half hour lunch breaks, time off for ARE testing, time off for holidays and most USA holidays, and a Personal Time off and Unpaid Time off Plan.

To apply, please send resume, cover letter, and work samples.",60k to 110k yearly - commensurate with experience,full-time
NYS Licensed Architect or PE,,"Architectural Design and Consulting firm is looking for a NYS Licensed professional to review and consult on our projects. A great opportunity to become part of a knowledgeable and expending team experienced in residential and commercial projects.

Great opportunity to joint venture, we turn around over 100 project yearly and expending",TBD,contract
Junior Architectural Designer,Midtown,"KGA is a small, twenty-nine year old firm based in Chelsea with a wide array of projects, including commercial, institutional, multi-family residential, single-family residential, and temporary installations. Employees experience all aspects of design, from Schematics through Construction Administration.

Kossar + Garry Architects, LLP (KGA), is looking for a talented and creative individual to fill a Junior Designer position with minimum 1 year of U.S. experience.

Requirements:
- Minimum Bachelors of Architecture.  Only applicants with Bachelors of Architecture will be considered.
- Professional Revit Experience.
- Strong graphic skills required, including expertise in AutoCAD, Revit, Rhino, Adobe Creative Suite, and 3D modeling software.
- Ability to communicate fluently in English, verbally and in writing, with clients, consultants and contractors, is essential.
- Strong multi-tasking and organizational skills are required.
- Word and Excel familiarity is a plus.
- Familiarity with NYC Zoning and Building Codes is a plus.

Please send your resume and work samples in PDF format, max of 5mb.
Include SALARY requirement on your cover letter.",Commensurate with Experience,full-time
Intermediate Architect,TriBeCa,"Small Architectural Practice seeks Intermediate Architect with minimum 5 years experience, and a BA in Architecture.
We are seeking a highly motivated Architect with experience in a variety of Project types, as well as experience in working with City Agencies.
Applicants should possess the ability to work with other Professionals and clients as well.
Applicants should have excellent Auto Cad skills 
Applicants must be a US Citizen or have a Green card
The successful candidate will work on all phases  of projects and should have strong verbal written and visual communication skills",Salary comensurate with Skill level,full-time
JUNIOR ARCHITECT,Flatiron,"Bluarch, a boutique award-winning architecture and design firm is seeking a mature, talented, and self-motivated JUNIOR ARCHITECT with a proven professional track record. 

The perfect candidate has the ability to work independently and manage simultaneous deadlines on architectural ground-up and interior design projects. 

Qualifications:

- Bachelor or Graduate degree in architecture or interior design 

- 2-5 years of experience with an architecture degree

- Excellent AutoCAD drafting skills

- Excellent 3D modeling and rendering skills 

- Proficiency with graphics software (InDesign, Photoshop, Illustrator) 

- Strong communication skills",INCLUDE SALARY REQUEST WITH YOUR RESUME AND PORTFOLIO,full-time
Kitchen Designer/AutoCAD/Sales,Flatiron,"KITCHEN DESIGNER/ 
Custom kitchen & millwork fabricator is seeking an intermediate Kitchen Designer/ Salesperson to work in our Flatiron showroom. We prefer an individual experienced in kitchen, closet, & bath design. Training in our kitchen systems will be provided, but technical & sales ability must be present.

We are looking for a superstar employee who can work closely in conjunction with the owner/ architect & additional designer as a 3-person team and is capable of wearing many hats & taking responsibility for their work. This job is full time, 40 hours a week. We are looking for a long term employee. Someone who will learn & grow with the company.


RESPONSIBILITIES:
> Greeting customers, generating sales leads, & closing sales
> Ability to use AutoCAD to modify or update existing 2-D drawings & develop new drawings             from scratch, including electrical/ plumbing diagrams for kitchen appliances.
> Cost Estimating using Excel & Typing up proposals in Microsoft Word
> Project management including site survey, budgets, vendor follow-up, & scheduling deliveries
> Some office management (answering phones, scheduling)


REQUIREMENTS:
> People-person, friendly, outgoing, excellent customer service & sales skills
> Proficient with AutoCAD 2010 or higher (no CAD training provided)
> 3D rendering with Google Sketch-Up or Rhino is a big plus!
> Knowledge of custom cabinetry (kitchens, baths, and millwork) & kitchen systems preferred
> Interior or Industrial or Architecture design degree from a 2-4-year school, or final-year student
> Some experience in kitchen/bath/closet/millwork industry preferred
> Be organized, punctual, detail-oriented, and able to juggle multiple projects!


Please include cover letter with salary requirements & be prepared to demonstrate CAD ability upon interview. EOE. Salary DOE. Must sign contract for 1 yr. employment after 90 day probationary period.

Please DO  NOT  CONTACT about other services or products or commercial interest",Salary DOE,full-time
Construction Project Manager,New York City,"General Contractor is seeking experienced Construction Project Manager. 
Candidates must be able  to manage multiple construction trades, budgets, change orders, reviewing contractor payments, administration and operations as well as overseeing all phases of construction projects from initial conception through completion.
Qualifications

•	10-15 years of experience in construction project management.
•	Experience with SCA/DOE/DDC/DASNY/GSA construction and/or educationalo buildings preferred.
•	Ability to provide overall administration and coordination of design and construction activities of both smaller rehabilitative and more complex and/or high visibility construction.
•	Able to ensure the quality and high standards of performance and compliance in both design and construction.
•	Experience interfacing with contractors, construction managers, local school personnel and Senior Construction Managers on project issues as well as working with architects/engineers of record regarding change orders and interpretation of contract documents, drawings, submittals/approvals and any other issues that may arise.
•	Can use independent judgment to make on-site change order decisions and have the experience to negotiate with contractors.
•	Bachelors' degree with experience in construction and design related field required.
•	Prior construction experience in the schools/educational facilities sector preferred.
•	A valid NYS driver license.
•	Proficiency in MS Word/Excel and Outlook.

•	OSHA 30 certified 
•	Master's Degree in Business Administration, Architecture, Engineering, Construction Management or related field preferred
•	NYS Licensed Architect or Engineer is a plus


Must have a working knowledge of Plumbing and Electrical Circuitry
• Must have a working knowledge of Architectural and specialty plaster finishes
• Must be able to read and interpret structural, mechanical and millwork drawings
• Must have working knowledge of Structural Steel work

EEO/AA Employer",Range from $150k to $180,full-time
ESTIMATOR NEEDED*,"QUEENS, NY","We are a Queens based commercial union drywall & acoustical contractor seeking a candidate to become park of our estimating team.  Both junior & senior level positions are available. 

Responsibilities include:
- Experience with OnCenter Software including OnScreen Takeoff
- Preliminary review of bid documents for each project
- Communication with general contractors regarding PFIs & questions.
- General understanding of supplier & specialty item pricing
- Must be proficient in Microsoft Word, Excel & Outlook
- Organizational skills which allow you to manage work loads and meet deadlines",Salary based on experience and includes Company paid Benefits and 401K.,full-time
Estimator,Valley Stream,"© craigslist - Map data © OpenStreetMap

 (google map)  

compensation: Salary based on experience and includes Company paid Benefits and 401K. 
employment type: full-time 







We are a Nassau based commercial union shop. We specialize in Architectural Metal & Glass. We are looking for a candidate to become part of our company.

 Responsibilities include:
 -Follow up with vendors for price quotes for jobs
- Get submittals for jobs & shop drawings
 - Preliminary review of bid documents for each project
 - Communication with general contractors regarding RFIs & questions.
 - General understanding of supplier & specialty item pricing
 - Must be proficient in Microsoft Word & Outlook
 - Organizational skills which allow you to manage work loads and meet deadlines",will discuss based upon experience,full-time
Experienced Estimator Needed for General Contractor,Brooklyn,"Busy Commercial / Residential Contractor is looking for an experienced estimator.

Must have the ability to professionally estimate a variety of projects ranging from commercial build outs to interior remodels to home additions.

Must be familiar with and have experience in all facets of commercial and residential construction.

Please reply with your contact number, email address and resume.

We are hiring for an immediate start.",TBD,full-time
Senior Mechanical Engineer,Flatiron,"Nelligan White Architects is seeking to hire staff engineers.  Successful candidates must have a minimum of 5 years U.S. consulting experience with an interest in challenging public-sector work. You’ll design HVAC, plumbing and fire protection systems, perform site survey and attend job meetings, meet with clients, and manage projects. Projects range from $1M to well over $100M.

Ideal applicants will demonstrate the following attributes:

- Must be licensed in New York State
- LEED accreditation a plus
- Familiarity with NYS and NYC codes
- Highly motivated
- The ability to work independently and as part of a team
- Exemplary verbal and written communication
- Previous work experience with all phases of design and construction administration
- Proficiency in AutoCAD required, Revit a plus
- Conceptual thinking with strong technical skills (design and drawing)
- The ability to work efficiently in a fast-paced environment

Located in the heart of the Flatiron District, Nelligan White Architects is a 25-person firm with diverse clients and committed coworkers. Our talented staff is dedicated to producing high-caliber work in both the public and private sectors.

Nelligan White offers a competitive salary and excellent benefits package. Interested candidates must email a cover letter, resume, and work samples as one PDF. Please reference CM-06 at top of your cover letter. No phone calls please.",Compensation based on experience.,full-time
Construction Superintendent,Downtown,"General Contractor looking to hire an experienced Project Super. Applicants must possess a proven track record to deliver top quality construction project superintendent services on time, on budget and exceeding customer expectations. 
Must Have over 10 years experience. 

Responsibilities:
•	Become familiar with plans, specifications, site, local codes, local officials and inspection procedures
•	Develop the project schedule
•	Coordinate all construction services and activities
•	Schedule all, subcontractors and deliveries as needed so as to not adversely impact the project schedule
•	Maintain project schedule with sub contractors
•	Schedule and attend all required inspections
•	Complete and submit all paperwork as required
•	Establish and maintain benchmarks and reference points for ongoing layout of work
•	Work with owner, owner’s rep, architect and subcontractors to resolve any conflicts that may arise and communicate any such conflicts immediately to Project Manager
•	Communicate, implement and enforce company safety policy as it pertains to assigned project
•	Attend job meetings and/or any other meetings as may be required for the successful and timely completion of current project
•	Attend walk through at job completion to ascertain punch list
•	Facilitate weekly safety meetings at job site
•	Execute punch list in a timely manner and obtain all necessary signed acknowledgments
•	Close out field office and project as necessary

•	Prior construction experience in the schools/educational facilities sector preferred.
•	A valid NYS driver license.
•	Proficiency in MS Word/Excel and Outlook.

EEO/AA",Range from $80K to $130K,full-time
Senior Electrical Engineer,Flatiron,"Nelligan White Architects is seeking to hire staff engineers.  Successful candidates must have a minimum of 5 years U.S. consulting experience with an interest in challenging public-sector work. You’ll design lighting, power, fire alarm, and low voltage systems, perform site survey and attend job meetings, meet with clients, and manage projects. Projects range from $1M to well over $100M.

Ideal applicants will demonstrate the following attributes:

- Bachelor of Science Electrical Engineering (BSEE) degree from an ABET accredited university
- Must be licensed in New York State
- LEED accreditation a plus
- Familiarity with NYS and NYC codes
- Highly motivated
- The ability to work independently and as part of a team
- Exemplary verbal and written communication
- Previous work experience with all phases of design and construction administration
- Proficiency in AutoCAD required, Revit a plus
- Conceptual thinking with strong technical skills (design and drawing)
- The ability to work efficiently in a fast-paced environment

Located in the heart of the Flatiron District, Nelligan White Architects is a 25-person firm with diverse clients and committed coworkers. Our talented staff is dedicated to producing high-caliber work in both the public and private sectors.

Nelligan White offers a competitive salary and excellent benefits package. Interested candidates must email a cover letter, resume, and work samples as one PDF. Please reference CE-06 at top of your cover letter. No phone calls please.",Compensation based on experience.,full-time
Project Architect(s),"Jamaica, Queens","Mssa, a Small Successful 9-Person Architectural studio based in Queens is seeking Project Architect(s). Our projects include single-family residential, multifamily, and mixed-use hospitality projects. The studio offers an opportunity to be involved in all phases of the urban built environment from Design Development, Construction Documents, Consultant Coordination and City Approvals to Project Close up. The candidate shall be willing to work on a whole range of projects from small extensions to multifamily and hospitality.

Requirements
• BS or 5-year Professional degree in Architecture
• Minimum 3 years' experience in an architecture office
• Proven ability to produce Construction Documents
• Working knowledge of NYC code and zoning regulations
• Familiarity with DOB procedures a plus
• Site visits and requisition review
• Check submittals and respond to requests for information
• Fluent with Autocad Architecture 2017/18
• Revit 2017 Experience a plus
• Strong work ethic 
• Fluent English 

Please submit your resume including work samples with a particular emphasis on construction documents.",Commensurate with Experience,full-time
Architect/Project Manager/Business Development/App Development: P/T or,Chelsea,"We are a small boutique NYC firm with high-profile design work and a few entrepreneurial projects that need help getting lifted off the ground.  We are looking for a full-time or part-time all-around entrepreneurial style architect, someone who is trained in traditional drawing and presentation formats, who will help us with our design projects, but is also interested in helping us develop four nascent projects/businesses. 

Work would be full time or part time, either in our offices in Chelsea or remote with regular face to face meetings. Ideal skills are (not in any particular order): knowledge of architectural design, construction, CA experience, project management experience, CAD, Rhino, Grasshopper, INDD other presentation formats, business development experience, app experience, NYC residential renovation work especially with the DOB.

The projects are: 1) turning Space Kit into an app   2) turning our customized storage software into an app ,  3) using Space Kit, establishing an affordable way for building management companies to get renovations filed and approved through the DOB in NYC.  4) Developing a Webinar for non-profits who will undertake a renovation, move or expansion. 5) Developing a webinar or video on schools and designing for safety.

If this posting speaks to YOU, then please introduce yourself!  Send a cover letter of interest so we know who you are, what you've been up to, where you are headed; send your CV; send samples of your design work, 2-5 pages max.
Looking forward to hearing from you.
-Imrey Studio LLC",Commensurate with experience,full-time
Architect or Engineer | MEP Drafting,Midtown West,"Title:
Intermediate Architect or Engineer for MEP Drafting

Company Description
A leading Commercial Kitchen + Foodservice Services provider.

Position Description:
Job functions include:
Develop layouts, schedules, details, using standards.
-Creation of Mechanical and MEP drawings. 
-Coordinate sets of construction drawings. 
-Perform site visits.


Requirements for consideration:
-5+ years of Mechanical and MEP Drafting drafting experience using AutoCAD.
-Related education in a related discipline (Architecture or Engineering)

Compensation:
Approximately 75K, depending upon level of experience, plus a competitive benefits package.

All candidates must be prepared to submit a resume and PDF AutoCAD technical work samples of Mechanical and MEP technical drawings for architecture/engineering projects.",Up to 75K,full-time
